Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
001;001;0,2/0,6/0,8;0,2;0,065;60;2;1,00;0,5;NaN;0,326;NaN;0,326;NaN;NaN;NaN;0,278;0,054;0,015;10,922;0,022;0,011;0,018;34,811;34,194;36,444;1,597;1,623;1,628;10,147;11,831;0,767
001;001;0,2/0,6/0,8;0,6;0,196;60;2;1,00;0,5;NaN;0,326;NaN;0,326;NaN;NaN;NaN;0,307;0,066;0,002;12,195;0,023;0,007;0,019;37,254;37,25;38,857;3,221;2,972;3,309;10,147;11,868;0,586
001;001;0,2/0,6/0,8;0,8;0,261;60;5;1,00;0,5;NaN;0,326;NaN;0,326;NaN;NaN;NaN;0,251;0,034;-0,011;7,807;0,015;0,009;0,021;33,342;32,378;34,134;3,707;3,771;3,883;10,147;11,906;0,811
002;002;0,2/0,6/0,8;0,2;0,065;60;1;1,00;1;NaN;0,327;NaN;0,327;NaN;NaN;NaN;0,547;-0,016;-0,028;-1,669;0,007;0,004;0,011;34,566;33,315;35,669;1,518;1,724;1,933;10,251;11,738;3,971
002;002;0,2/0,6/0,8;0,6;0,196;60;1;1,00;1;NaN;0,327;NaN;0,327;NaN;NaN;NaN;0,525;0,076;-0,001;8,278;0,013;0,006;0,021;35,051;34,697;36,261;1,462;1,451;1,503;10,222;11,767;2,227
002;002;0,2/0,6/0,8;0,8;0,262;60;3;1,00;1;NaN;0,327;NaN;0,327;NaN;NaN;NaN;0,498;0,117;-0,046;13,239;0,014;0,007;0,022;35,013;34,341;36,487;1,595;1,65;1,828;10,22;11,796;1,069
003;003;0,2/0,6/0,8;0,2;0,058;60;4;1,00;1,5;NaN;0,292;NaN;0,292;NaN;NaN;NaN;0,233;0,006;-0,013;1,423;0,006;0,004;0,008;25,191;25,238;26,38;2,894;2,951;3,364;10,276;11,656;1,979
003;003;0,2/0,6/0,8;0,6;0,175;60;1;1,00;1,5;NaN;0,292;NaN;0,292;NaN;NaN;NaN;0,274;0,006;-0,006;1,169;0,007;0,003;0,007;28,244;27,785;30,255;2,678;2,504;2,238;10,259;11,691;1,383
003;003;0,2/0,6/0,8;0,8;0,234;60;4;1,00;1,5;NaN;0,292;NaN;0,292;NaN;NaN;NaN;0,193;0,039;0,07;11,449;0,005;0,006;0,019;29,876;29,203;35,417;2,933;2,667;2,87;10,259;11,709;1,646
004;004;0,2/0,6/0,8;0,2;0,05;60;0;1,00;2;NaN;0,251;NaN;0,251;NaN;NaN;NaN;-0,008;-0,014;0,002;-120,192;0,001;0,001;0;21,408;21,118;22,198;5,006;5,511;5,424;10,52;11,53;1,447
004;004;0,2/0,6/0,8;0,6;0,151;60;0;1,00;2;NaN;0,251;NaN;0,251;NaN;NaN;NaN;-0,009;-0,005;0,001;-147,978;0,001;0,001;0,001;34,637;33,838;36,49;2,456;2,548;2,63;10,446;11,567;1,879
004;004;0,2/0,6/0,8;0,8;0,201;60;2;1,00;2;NaN;0,251;NaN;0,251;NaN;NaN;NaN;-0,005;-0,002;-0,002;-153,402;0,002;0,001;0,001;37,247;36,547;39,081;3,442;3,109;3,208;10,426;11,581;4,307
005;005;0,6;0,6;0,117;60;0;1,00;2,5;NaN;0,195;NaN;0,195;NaN;NaN;NaN;-0,012;-0,005;0;-158,621;0,001;0,001;0;39,887;39,598;42,096;4,424;4,421;4,934;10,551;11,494;0,883
006;006;0,6;0,6;0,056;60;0;1,00;3;NaN;0,093;NaN;0,093;NaN;NaN;NaN;0;0,001;-0,001;51,668;0;0;0;46,517;44,051;48,082;2,824;2,651;2,529;10,576;11,455;0,985
