Desktop_Software_Build_Version,2.0
#;Jahr;Monat;Tag;Stunde;Minute;Sekunde;VelX;VelY;VelZ;SNR1;SNR2;SNR3;AccX;AccY;AccZ;Temp
();();();();();();();(m/s);(m/s);(m/s);(dB);(dB);(dB);(cnts);(cnts);(cnts);(° C)
01;2025;09;30;10;47;02;0,877;-0,081;-0,003;19,379;11,861;14,047;-498,035;55,765;15857,1;8,868
01;2025;09;30;10;47;02;0,833;-0,09;-0,076;17,243;19,746;12,963;-363,666;-66,867;15899,42;8,868
01;2025;09;30;10;47;03;0,838;-0,161;-0,008;15,797;18,862;13,369;-291,271;-84,44;15814,06;8,868
01;2025;09;30;10;47;03;0,866;-0,134;-0,82;18,111;21,093;1,31;-353,491;-14,558;15894,49;8,868
01;2025;09;30;10;47;04;0,87;-0,146;-0,045;16,598;17,14;16,711;-329,761;-96,039;15880,53;8,868
01;2025;09;30;10;47;04;0,82;-0,099;-0,067;18,667;15,947;17,908;-214,922;-142,332;15864,88;8,868
01;2025;09;30;10;47;05;0,906;-0,177;-0,126;16,331;16,742;7,136;-201,48;-232,585;15924,23;8,868
01;2025;09;30;10;47;05;0,927;-0,15;-0,099;14,195;17,029;5,781;-17,006;-78,832;15781,91;8,868
01;2025;09;30;10;47;06;0,897;-0,131;0,137;13,327;15,991;14,589;-41,502;-98,102;15839,67;8,868
01;2025;09;30;10;47;06;0,863;-0,165;-0,08;14,64;13,186;11,111;-64,41;-97,18;15856,21;8,868
01;2025;09;30;10;47;07;0,835;-0,19;-0,054;17,354;18,133;6,481;-177,898;-122,28;15906,28;8,868
01;2025;09;30;10;47;07;0,91;-0,205;-0,098;18,6;19,282;13,03;-108,188;-47,048;15835,27;8,868
01;2025;09;30;10;47;08;1,025;-0,179;0,304;19,868;18,752;17,276;-189,727;19,329;15917,46;8,868
01;2025;09;30;10;47;08;0,747;-0,148;0,048;19,957;15,682;17,208;-133,032;-23,551;15854,83;8,868
01;2025;09;30;10;47;09;0,806;-0,196;-0,19;18,667;19,216;9,756;-106,551;-4,135;15849,37;8,868
01;2025;09;30;10;47;09;0,743;-0,152;0,188;15,73;13,76;10,162;-171,417;43,67;15883,61;8,868
01;2025;09;30;10;47;10;0,731;-0,096;-0,045;17,31;13,826;11,517;-110,171;-31,458;15863,57;8,868
01;2025;09;30;10;47;10;0,761;-0,152;0,149;14,618;14,445;2,981;-162,735;24,251;15899,96;8,868
01;2025;09;30;10;47;11;0,866;-0,194;0,444;14,907;17,36;2,868;-79,743;-51,217;15850,23;8,868
01;2025;09;30;10;47;11;0,888;-0,122;0,132;12,504;19,591;11,653;-217,756;-4,404;15860,42;8,868
01;2025;09;30;10;47;12;0,829;-0,198;-0,004;16,108;18,995;10,411;-95,302;66,618;15818,4;8,868
01;2025;09;30;10;47;12;0,823;-0,23;-0,079;16,375;18,597;9,959;-159,494;-68,07;15879,61;8,868
01;2025;09;30;10;47;13;0,807;-0,12;0,038;12,548;16,146;7,904;-181,434;-20,889;15826,74;8,868
01;2025;09;30;10;47;13;0,702;-0,085;-0,22;16,086;15,395;9,282;-201,386;-129,137;15904,67;8,868
01;2025;09;30;10;47;14;0,749;-0,158;-0,043;16,776;16,985;4,471;-199,301;97,355;15822,33;8,868
01;2025;09;30;10;47;14;0,67;-0,084;-0,143;19,201;13,716;2,529;-295,601;-10,456;15898,47;8,868
01;2025;09;30;10;47;15;0,726;-0,084;-0,003;13,416;19,017;14,25;-266,507;56,9;15866,43;8,868
01;2025;09;30;10;47;15;0,796;-0,164;0,256;14,64;13,23;7,723;-204,425;15,25;15814,07;8,868
01;2025;09;30;10;47;16;0,83;-0,178;0,228;18,845;19,9;1,558;-160,192;-39,949;15870,54;8,868
01;2025;09;30;10;47;16;0,866;-0,181;-4,583;20,135;16,654;3,862;-92,359;-42,063;15859,2;8,868
01;2025;09;30;10;47;17;0,753;-0,077;-0,089;15,886;16,411;12,85;-167,627;41,787;15850,78;8,868
01;2025;09;30;10;47;17;0,857;-0,154;-0,08;18,645;17,316;5,059;-218,53;-39,697;15903,05;8,868
01;2025;09;30;10;47;18;0,762;-0,02;0,378;19,112;17,007;9,778;-171,249;14,505;15867,27;8,868
01;2025;09;30;10;47;18;0,765;-0,175;-0,006;14,061;15,306;10,14;-230,398;-43,794;15921,12;8,868
01;2025;09;30;10;47;19;0,856;-0,12;-0,039;16,998;15,417;3,184;-112,001;20,829;15848,92;8,868
01;2025;09;30;10;47;19;0,787;-0,101;0,231;15,73;15,925;13,188;-146,899;86,442;15876,86;8,868
01;2025;09;30;10;47;20;0,723;-0,112;0,31;16,108;14,798;4,359;-230,998;22,333;15910,51;8,868
01;2025;09;30;10;47;20;0,93;-0,171;-0,039;16,242;15,549;5,668;-164,051;61,901;15881,29;8,868
01;2025;09;30;10;47;21;0,772;-0,125;0,039;15,374;13,363;11,292;-169,684;-95,327;15862,37;8,868
01;2025;09;30;10;47;21;0,827;-0,074;-0,026;16,82;19,503;3,455;-232,038;3,313;15872,27;8,868
01;2025;09;30;10;47;22;0,616;-0,147;-0,047;11,147;16,587;12,872;-183,231;95,632;15822,37;8,868
01;2025;09;30;10;47;22;0,709;-0,144;0,04;15,218;15,925;12,872;-200,128;63,78;15833,21;8,868
01;2025;09;30;10;47;23;0,701;-0,106;0,323;18,8;15,13;3,794;-211,902;-0,314;15885,79;8,868
01;2025;09;30;10;47;23;0,925;-0,162;-0,024;15,619;14,909;10,004;-284,293;-105,067;15958,17;8,868
01;2025;09;30;10;47;24;0,744;-0,254;-0,08;19,735;15,858;8,74;-244,76;-41,281;15833,91;8,868
01;2025;09;30;10;47;24;0,906;-0,24;0,082;17,91;20,74;10,975;-231,486;44,851;15843,53;8,868
01;2025;09;30;10;47;25;0,737;-0,14;0,02;18,155;19,216;7,091;-127,354;67,618;15809,21;8,868
01;2025;09;30;10;47;25;0,812;-0,143;0,053;22,538;15,24;11,833;-230,303;125,179;15856,1;8,868
01;2025;09;30;10;47;26;0,786;-0,108;0,025;16,286;15,284;12,601;-240,461;97,423;15778,86;8,868
01;2025;09;30;10;47;26;0,911;-0,165;0,035;16,776;20,276;10,682;-352,626;75,084;15868,89;8,868
01;2025;09;30;10;47;27;0,817;-0,144;-0,038;13,661;11,728;10,84;-346,357;181,832;15845,84;8,868
01;2025;09;30;10;47;27;0,811;-0,144;0,032;16,865;16,609;11,54;-347,057;87,428;15876,67;8,868
01;2025;09;30;10;47;28;0,873;-0,146;0,026;15,53;15,77;16,124;-371,851;60,598;15895,99;8,868
01;2025;09;30;10;47;28;0,679;-0,141;0,093;16,754;16,897;11,337;-313,796;109,532;15816,3;8,868
01;2025;09;30;10;47;29;0,845;-0,169;-0,05;15,441;19,437;10,049;-251,172;11,131;15835,25;8,868
01;2025;09;30;10;47;30;0,853;-0,169;-0,166;14,484;15,063;3,32;-327,992;114,358;15890,21;8,868
01;2025;09;30;10;47;30;0,812;-0,129;0,044;16,998;15,549;14,792;-396,053;98,583;15893,01;8,868
01;2025;09;30;10;47;31;0,741;-0,123;0,241;17,02;16,521;8,965;-336,427;69,685;15871;8,868
01;2025;09;30;10;47;31;0,832;-0,145;-0,077;19,29;17,095;8,875;-299,554;151,54;15851;8,868
01;2025;09;30;10;47;32;0,806;-0,141;0,263;20,914;14,6;5,239;-262,563;132,052;15855,95;8,868
01;2025;09;30;10;48;03;0,537;0,039;0,11;17,643;17,405;18,179;-249,235;85,192;16007,68;8,868
01;2025;09;30;10;48;03;0,774;-0,033;0,08;15,953;18,266;17,05;-76,541;-150,986;15893,16;8,868
01;2025;09;30;10;48;04;0,819;-0,099;-0,167;17,154;18,995;21,544;-220,188;39,128;16061,1;8,868
01;2025;09;30;10;48;04;0,729;-0,018;-0,039;15,508;18,509;19,715;5,231;142,834;15821,98;8,868
01;2025;09;30;10;48;05;0,817;-0,014;0,162;11,458;17,957;18,857;63,606;35,397;15807,66;8,868
01;2025;09;30;10;48;05;0,771;0,022;0,004;15,819;15,439;22,786;-8,006;6,558;15838,4;8,868
01;2025;09;30;10;48;06;0,577;0,01;0,021;15,396;14,754;18,744;12,328;127,887;15835,68;8,868
01;2025;09;30;10;48;06;0,687;-0,049;0,009;14,573;15,461;18,066;17,973;7,576;15844,41;8,868
01;2025;09;30;10;48;07;0,783;-0,077;0,035;19,045;17,846;22,583;72,003;56,681;15830,15;8,868
01;2025;09;30;10;48;07;1,012;-0,098;-0,383;15,152;17,294;18,45;-39,886;59,608;15845,43;8,868
01;2025;09;30;10;48;08;0,904;-0,031;0,035;15,218;16,72;13,414;-15,168;63,752;15884,81;8,868
01;2025;09;30;10;48;08;0,922;0,01;-0,153;19,379;14,622;18,654;-25,81;114,591;15870,46;8,868
01;2025;09;30;10;48;09;0,865;0,006;-0,118;16,576;16,366;19,805;40,604;104,051;15854,42;8,868
01;2025;09;30;10;48;09;0,607;0,067;0,25;16,309;11,662;15,469;-127,623;221,5;15892,47;8,868
01;2025;09;30;10;48;10;0,704;-0,093;-0,077;13,928;13,495;19,354;52,686;85,772;15831,9;8,868
01;2025;09;30;10;48;10;0,75;0,03;-0,113;13,149;17,979;14,927;-15,995;62,947;15873,4;8,868
01;2025;09;30;10;48;11;0,472;-0,039;-0,139;10,257;11,552;9,778;-40,019;120,172;15890,64;8,868
01;2025;09;30;10;48;11;0,367;-0,015;-0,133;18,133;18,023;14,792;-26,983;90,86;15888,89;8,868
01;2025;09;30;10;48;12;0,509;-0,02;-0,217;17,554;16,146;15,334;-41,587;164,546;15944,71;8,868
01;2025;09;30;10;48;12;0,795;-0,025;-0,094;15,864;17,051;20,912;-22,491;191,063;15887,11;8,868
01;2025;09;30;10;48;13;0,78;-0,033;0,035;14,929;20,784;16,644;18,473;278,865;15823,85;8,868
01;2025;09;30;10;48;13;0,764;-0,016;-0,141;18,2;16,698;20,347;-6,86;201,795;15896,93;8,868
01;2025;09;30;10;48;14;0,931;-0,092;-0,002;14,64;16,676;15,898;21,398;195,134;15868,78;8,868
01;2025;09;30;10;48;14;0,629;-0,081;0,35;15,04;18,818;17,186;71,731;243,71;15848,24;8,868
01;2025;09;30;10;48;15;0,511;-0,001;0,008;13,661;14,82;14,114;108,303;260,985;15799,1;8,868
01;2025;09;30;10;48;15;0,585;0,04;0,005;16,108;14,975;13,437;29,112;146,387;15861,94;8,868
01;2025;09;30;10;48;16;0,729;-0,05;0,026;13,683;14,71;18,834;-44,933;195,218;15875,58;8,868
01;2025;09;30;10;48;16;0,827;-0,175;-0,157;14,974;18,796;16,937;-30,7;254,197;15851,97;8,868
01;2025;09;30;10;48;17;0,812;-0,037;-0,018;14,773;15,041;17,299;-44,98;131,268;15881,3;8,868
01;2025;09;30;10;48;17;0,404;-0,105;-0,003;16,331;19,304;20,799;103,243;201,581;15781,01;8,868
01;2025;09;30;10;48;18;0,652;0,018;0,012;17,132;12,7;17,728;75,158;96,769;15891,16;8,868
01;2025;09;30;10;48;18;0,746;0,023;0,114;14,239;12,744;17,073;0,674;215,458;15862,69;8,868
01;2025;09;30;10;48;19;0,777;-0,03;0,011;12,326;15,792;13,166;-27,768;162,049;15905,91;8,868
01;2025;09;30;10;48;19;0,452;0,066;0,23;16,442;12,369;13,392;66,893;267,552;15847,81;8,868
01;2025;09;30;10;48;20;0,815;-0,05;-0,032;13,861;21,248;21,522;56,687;232,51;15843;8,868
01;2025;09;30;10;48;20;0,807;-0,047;-0,063;19,49;17,184;18,27;27,63;188,569;15873,19;8,868
01;2025;09;30;10;48;21;0,601;0,013;-0,003;15,485;15,108;14,543;-24,266;257,97;15890,48;8,868
01;2025;09;30;10;48;21;0,79;-0,005;-0,15;15,53;16,344;14,927;95,505;250,582;15850,14;8,868
01;2025;09;30;10;48;22;0,642;0,029;0,224;20,135;17,162;18,518;93,867;215,724;15854,76;8,868
01;2025;09;30;10;48;22;0,678;-0,05;-0,152;14,595;19,79;17,344;15,975;292,565;15891,33;8,868
01;2025;09;30;10;48;23;0,923;-0,136;-0,207;15,864;19,702;16,508;28,259;325,638;15861,89;8,868
01;2025;09;30;10;48;23;0,487;0,058;0,39;21,96;19,68;17,953;92,956;266,286;15837,86;8,868
01;2025;09;30;10;48;24;0,731;-0,05;0,074;18,311;17,206;17,57;55,773;323,866;15836,8;8,868
01;2025;09;30;10;48;24;0,804;-0,051;0,203;17,977;20,276;19,15;12,086;232,294;15886,4;8,868
01;2025;09;30;10;48;25;0,831;-0,065;-0,181;12,882;18,2;21,499;21,11;334,044;15834,3;8,868
01;2025;09;30;10;48;25;0,832;-0,074;-0,039;13,705;17,25;14,611;108,794;328,441;15812,76;8,868
01;2025;09;30;10;48;26;0,871;0;-0,022;17,999;17,493;18,202;110,582;130,107;15895,17;8,868
01;2025;09;30;10;48;26;0,604;0,014;-0,052;13,194;16,168;22,628;94,859;383,584;15789,76;8,868
01;2025;09;30;10;48;27;0,652;-0,09;-0,043;16,242;15,395;12,375;57,465;340,586;15873,08;8,868
01;2025;09;30;10;48;27;0,731;-0,033;-0,053;13,928;13,628;16,418;131,184;374,353;15873,97;8,868
01;2025;09;30;10;48;28;0,668;0,029;0,054;14,462;16,919;15,74;144,101;413,901;15837,55;8,868
01;2025;09;30;10;48;28;0,739;-0,018;-0,01;14,351;24,715;23,148;168,696;275,016;15841,77;8,868
01;2025;09;30;10;48;29;0,659;-0,007;0,228;13,705;14,379;15,469;96,929;389,42;15840,24;8,868
01;2025;09;30;10;48;29;0,865;-0,002;-0,057;17,043;19,702;16,079;109,661;303,353;15863,21;8,868
01;2025;09;30;10;48;30;0,802;0,038;0,058;15,864;13,76;18,495;37,249;460,708;15850,34;8,868
01;2025;09;30;10;48;30;0,676;-0,028;-0,51;16,531;15,196;15,153;26,864;324,604;15870,76;8,868
01;2025;09;30;10;48;31;0,779;-0,039;0,104;18,355;17,625;20,009;-28,479;508,835;15856,28;8,868
01;2025;09;30;10;48;31;0,795;-0,048;0,108;18,422;17,162;17,728;101,127;318,632;15838,93;8,868
01;2025;09;30;10;48;32;0,924;-0,053;-0,159;17,109;18,376;22,402;57,725;333,327;15850,35;8,868
01;2025;09;30;10;48;32;0,784;-0,107;0,092;16,509;17,338;18,766;6,597;446,02;15872,58;8,868
01;2025;09;30;10;49;02;0,897;-0,145;-0,049;14,462;15,682;17,818;-47,054;190,488;15871,09;8,868
