Desktop_Software_Build_Version,2.0
SITE_NAME;;FT-upstream-main-leaves
Site_Number;;30.09.25-2
Local_Start_Time;;2025-09-30 10:39:02
Local_End_Time;;2025-09-30 12:20:52
Local_Time_UTC_Offset_Hours;Stunden;1,0000
Anwender;;RL
Handheld_Serial_Number;;FT2H2004008
Handheld_Software_Version;;2.0
Watstange;;TopSetting
Handheld_Units_System;;Metric
Number_Of_Probes;;1
ADV_Serial_Number;;FT2P2028002
ADV_Firmware_Version;;1.30
ADV_Number_Of_Beams;;3
Kommentar;;FT-leaves
Calculations_Engine;;FlowTracker2
Number_Of_Stations;;28
Discharge_Equation;;MidSection
Rated_Discharge;m³/s;NaN
Rated_Height;m³/s;NaN
Minimum_Boundary_Status;;Best
Total_Width;m;14,6
Total_Area;m²;4,893
Total_Discharge;m³/s;5,322
Mean_Depth;m;0,335
Mean_Velocity_Vx;m/s;1,088
Mean_Velocity_Vy;m/s;-0,052
Mean_Velocity_Vz;m/s;-0,051
Mean_SNR;dB;25,228
Mean_VxErr;m/s;0,025
Mean_VyErr;m/s;0,012
Mean_VzErr;m/s;0,065
Mean_Temp;° C;9,143

Quality_Control_Checks
Station_Spacing;;Bestanden
Station_Order;;Bestanden
Water_Depth;;Bestanden
Boundary_Interference;;Bestanden
Fractional_Depth;;Bestanden
Low_SNR;;Bestanden
Nähert sich niedrigem SNR;;Bestanden
Beam_SNRs_Similar;;Bestanden
Beam_SNR_Variation;;Bestanden
Transect_SNR_Variation;;Bestanden
Velocity_Standard_Error;;Bestanden
Percent_Of_Spikes;;Bestanden
Velocity_Angle;;Bestanden
Rod_Angle;;Bestanden
Station_Durchfluss;;Bestanden
End_Edge_Location;;Bestanden
Noise_Level;;Bestanden
Peak_Location;;Bestanden
Peak_Shape;;Bestanden
Pre_Calculation_Validation;;Bestanden

Discharge_Uncertainty_ISO
Insgesamt;%;2,232
Genauigkeit;%;1
Tiefe;%;0,125
Geschwindigkeit;%;0,33
Breite;%;0,112
Methode;%;0,732
#_Messposition;%;1,82

Discharge_Uncertainty_IVE
Insgesamt;%;1,958
Genauigkeit;%;1
Tiefe;%;1,052
Geschwindigkeit;%;1,309
Breite;%;0,112

Supplemental_Data;#;0
Record_Number;Date_And_Time;Gauge_Height (m);Rated_Discharge (m³/s);Temperatur (° C);Salzgehalt (PSS);Kommentare

Automated_Beam_Check;#;1
Record_Number;Date_And_Time;Noise_Level_Check;SNR_Check;Peak_Location_Check;Peak_Shape_Check
01;2025-09-30 10:45:03;Bestanden;Bestanden;Bestanden;Bestanden

St;Uhr;GPSLat;GPSLon;Loc;LocY;FinalD;IceD;WsIceD;WsSlushD;%Tiefe;MeasD;Npts;Spike;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;Bnd;Temp;Neigung;KorrFakt;MeanV;Fläche;Durchfluss;%Q
(#);();(deg N);(deg E);(m);(m);(m);(m);(m);(m);();(m);(#);(#);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);();(° C);(deg);();(m/s);(m²);(m³/s);(%)
000;10:45:26;47,541;11,353;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Undefined;NaN;NaN;1,00;0,689;0;0;0
001;10:47:02;47,54061N;011,35348E;0,5;NaN;0,23;NaN;NaN;NaN;0,2;0,046;60;4;0,811;-0,145;0,021;-10,134;0,01;0,005;0,017;16,701;16,588;9,522;Best;8,868;0,845;1,00;0,689;0,115;0,079;1,489
001;10:48:03;47,54061N;011,35348E;0,5;NaN;0,23;NaN;NaN;NaN;0,6;0,138;60;2;0,724;-0,025;0;-2,003;0,018;0,006;0,019;15,834;16,779;17,605;Best;8,868;0,843;1,00;NaN;NaN;NaN;NaN
001;10:49:02;47,54061N;011,35348E;0,5;NaN;0,23;NaN;NaN;NaN;0,8;0,184;60;0;0,499;-0,03;-0,025;-3,435;0,022;0,008;0,023;16,744;17,546;19,163;Best;8,868;0,66;1,00;NaN;NaN;NaN;NaN
002;10:53:14;47,54062N;011,35348E;1;NaN;0,286;NaN;NaN;NaN;0,2;0,057;60;3;1,13;0,07;-0,053;3,569;0,01;0,005;0,039;21,181;19,857;4,701;Best;8,868;2,913;1,00;0,922;0,143;0,132;2,477
002;10:52:01;47,54062N;011,35348E;1;NaN;0,286;NaN;NaN;NaN;0,6;0,172;60;2;0,931;-0,006;-0,027;-0,365;0,018;0,007;0,018;19,552;19,095;20,653;Best;8,868;1,848;1,00;NaN;NaN;NaN;NaN
002;10:50:43;47,54062N;011,35348E;1;NaN;0,286;NaN;NaN;NaN;0,8;0,229;60;2;0,696;-0,159;-0,033;-12,86;0,019;0,008;0,027;18,552;19,196;20,72;Best;8,868;1,326;1,00;NaN;NaN;NaN;NaN
003;10:57:34;47,54063N;011,35348E;1,5;NaN;0,411;NaN;NaN;NaN;0,2;0,082;60;5;1,295;-0,27;-0,004;-11,785;0,008;0,005;0,032;23,869;23,525;7,735;Best;8,868;2,745;1,00;1,077;0,206;0,221;4,16
003;10:56:22;47,54063N;011,35348E;1,5;NaN;0,411;NaN;NaN;NaN;0,6;0,247;60;1;1,094;-0,088;0,01;-4,619;0,018;0,009;0,027;22,142;21,423;23,44;Best;8,869;1,175;1,00;NaN;NaN;NaN;NaN
003;10:55:14;47,54063N;011,35348E;1,5;NaN;0,411;NaN;NaN;NaN;0,8;0,329;60;1;0,826;-0,113;-0,028;-7,788;0,023;0,009;0,024;22,952;22,894;24,524;Best;8,879;5,264;1,00;NaN;NaN;NaN;NaN
