Desktop_Software_Build_Version,1.7,,,,,,,,,,,,,,,,,,,
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp,STD X,STD Y,STD Z,
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C),0.179045796683772,0.067317756793782,0.301985685541802,0.045886394700526
0,2022,3,30,13,49,17,-1.161,0.139,-0.598,43.519,42.738,43.201,58.303,-661.065,15758.36,10.147,0.178994455309782,0.091896742239196,0.381884408044627,0.066905963578504
0,2022,3,30,13,49,17,-1.084,0.074,-0.324,42.629,43.357,44.556,-244.03,-568.367,15938.47,10.147,,,,
0,2022,3,30,13,49,18,-1.143,0.032,-0.297,41.183,43.445,44.172,-127.128,-201.108,16003.74,10.147,,,,
0,2022,3,30,13,49,18,-0.84,0.103,-0.491,41.917,43.6,44.421,-7.944,-394.479,15797.55,10.147,,,,
0,2022,3,30,13,49,19,-0.82,0.07,-0.198,46.211,43.511,45.708,-61.242,-383.576,15904.18,10.147,,,,
0,2022,3,30,13,49,19,-0.797,0.001,0.022,44.609,43.313,44.218,-89.884,-512.797,15945.61,10.147,,,,
0,2022,3,30,13,49,20,-0.817,0.092,-0.259,44.164,42.363,43.585,237.84,-432.098,15674.41,10.147,,,,
0,2022,3,30,13,49,20,-0.999,-0.082,0.076,42.918,43.18,44.985,324.737,-350.944,15789.06,10.147,,,,
0,2022,3,30,13,49,21,-1.222,0.16,-0.402,43.92,43.666,43.111,-163.059,-285.099,15982.35,10.147,,,,
0,2022,3,30,13,49,21,-1.057,0.033,-0.269,43.185,42.628,43.585,27.118,-424.478,15842.12,10.147,,,,
0,2022,3,30,13,49,22,-1.047,0.126,-0.761,42.473,41.833,45.098,-7.309,-551.681,15863.79,10.147,,,,
0,2022,3,30,13,49,22,-1.029,0.056,-0.291,44.543,42.981,44.24,137.623,-493.673,15785.44,10.147,,,,
0,2022,3,30,13,49,23,-1.027,0.052,0.17,44.498,43.732,44.398,71.67,-391.412,15973.02,10.147,,,,
0,2022,3,30,13,49,23,-0.964,0.066,-0.074,43.208,43.114,44.534,283.471,-314.66,15660.36,10.147,,,,
0,2022,3,30,13,49,24,-0.662,-0.01,-0.202,42.229,44.505,43.63,46.883,-464.233,15530.8,10.147,,,,
0,2022,3,30,13,49,24,-1.095,0.112,-0.418,44.431,43.18,44.805,72.24,-628.096,16007.82,10.147,,,,
