Desktop_Software_Build_Version,1.7
Site_Name,,Inn
Site_Number,,DOWMSTREAM
Local_Start_Time,,2022-03-30 13:39:07
Local_End_Time,,2022-03-30 15:20:25
Local_Time_UTC_Offset_Hours,Hours,2.0000
Operator,,Many
Handheld_Serial_Number,,FT2H2004008
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2028002
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,3
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,21
Discharge_Equation,,None
Rated_Discharge,m³/s,NaN
Rated_Height,m³/s,NaN
Minimum_Boundary_Status,,Undefined
Total_Width,m,NaN
Total_Area,m²,NaN
Total_Discharge,m³/s,NaN
Mean_Depth,m,0.524
Mean_Velocity_Vx,m/s,-0.787
Mean_Velocity_Vy,m/s,-0.276
Mean_Velocity_Vz,m/s,1.063
Mean_SNR,dB,44.269
Mean_VxErr,m/s,0.016
Mean_VyErr,m/s,0.008
Mean_VzErr,m/s,0.033
Mean_Temp,°C,10.297

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,NaN
Accuracy,%,NaN
Depth,%,NaN
Velocity,%,NaN
Width,%,NaN
Method,%,NaN
#_Stations,%,NaN

Discharge_Uncertainty_IVE
Overall,%,NaN
Accuracy,%,NaN
Depth,%,NaN
Velocity,%,NaN
Width,%,NaN

Supplemental_Data,#,0

Automated_Beam_Check,#,1
