Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,0.499,0.174,80,1,1.00,-1,0.5,0.349,NaN,0.349,NaN,NaN,NaN,-1.062,0.105,-0.465,174.363,0.02,0.007,0.031,43.358,42.887,44.414,0.955,0.84,0.912,10.173,11.663,1.954
001,001,None,0.513,0.184,80,1,1.00,-2,0.5,0.359,NaN,0.359,NaN,NaN,NaN,-1.208,-0.47,1.728,-158.745,0.011,0.005,0.019,43.085,42.978,43.554,0.761,0.944,1.269,10.259,11.565,1.401
002,002,None,0.498,0.227,80,0,1.00,-2,1,0.456,NaN,0.456,NaN,NaN,NaN,-1.049,-0.48,1.768,-155.409,0.023,0.008,0.033,42.892,43.201,45.099,0.897,0.866,0.945,10.279,11.496,1.866
003,003,None,0.407,0.101,80,1,1.00,5,0.5,0.248,NaN,0.248,NaN,NaN,NaN,-1.066,-0.216,0.777,-168.572,0.009,0.005,0.017,42.655,42.815,41,0.998,0.921,4.159,10.297,11.449,1.706
004,004,None,0.475,0.104,80,0,1.00,5,1,0.219,NaN,0.219,NaN,NaN,NaN,-1.171,-0.117,0.415,-174.277,0.014,0.006,0.03,43.188,43.103,38.198,0.895,1,4.578,10.297,11.407,1.753
005,005,None,0.457,0.084,80,0,1.00,2,0,0.184,NaN,0.184,NaN,NaN,NaN,-0.569,-0.22,0.856,-158.89,0.007,0.003,0.013,45.643,45.454,47.612,0.861,0.994,0.978,10.33,11.342,2.118
006,006,None,0.503,0.08,80,1,1.00,1,0,0.159,NaN,0.159,NaN,NaN,NaN,-0.21,-0.206,0.83,-135.592,0.006,0.005,0.02,45.381,44.871,47.285,1.244,1.305,1.376,10.334,11.313,1.151
007,007,None,0.471,0.194,80,0,1.00,1,0.5,0.412,NaN,0.412,NaN,NaN,NaN,-0.486,-0.166,0.656,-161.158,0.012,0.01,0.039,44.786,44.92,46.789,0.975,1.185,1.124,10.332,11.284,1.713
008,008,None,0.48,0.31,80,3,1.00,1,1,0.646,NaN,0.646,NaN,NaN,NaN,-0.999,-0.499,1.918,-153.455,0.018,0.01,0.049,45.059,45.314,47.398,0.727,0.916,1.037,10.297,11.24,2.949
009,009,None,0.453,0.196,80,1,1.00,0.1,0,0.433,NaN,0.433,NaN,NaN,NaN,-0.308,0.074,-0.378,166.446,0.019,0.01,0.045,46.491,46.188,48.404,1.237,1.562,1.641,10.332,11.21,2.11
010,010,None,0.465,0.216,80,3,1.00,0.1,0.5,0.465,NaN,0.465,NaN,NaN,NaN,-0.426,-0.047,0.288,-173.715,0.025,0.01,0.035,43.819,43.807,45.346,1.189,1.176,1.357,10.297,11.187,3.06
011,011,None,0.501,0.373,80,1,1.00,0.1,1,0.745,NaN,0.745,NaN,NaN,NaN,-0.781,-0.364,2.075,-154.987,0.045,0.017,0.067,42.572,42.579,44.804,0.831,0.838,1.032,10.26,11.169,2.597
012,012,None,0.452,0.426,80,5,1.00,0,1,0.943,NaN,0.943,NaN,NaN,NaN,-1.108,-0.671,2.264,-148.804,0.021,0.01,0.039,43.47,43.718,45.163,0.788,1.022,0.821,10.297,11.103,3.946
013,013,None,0.458,0.427,80,0,1.00,-0.1,1,0.933,NaN,0.933,NaN,NaN,NaN,-1.032,-0.553,2.059,-151.83,0.02,0.011,0.043,42.95,42.592,44.264,0.919,0.769,0.87,10.328,11.054,5.808
014,014,None,0.451,0.416,80,0,1.00,0,1.1,0.923,NaN,0.923,NaN,NaN,NaN,-0.968,-0.49,1.917,-153.139,0.015,0.006,0.023,42.762,42.75,44.809,0.809,0.918,0.87,10.334,11.029,4.867
015,015,None,0.453,0.382,80,3,1.00,0,1.2,0.844,NaN,0.844,NaN,NaN,NaN,-0.717,-0.172,0.676,-166.505,0.015,0.007,0.031,42.765,42.591,43.894,1.081,1.014,1.161,10.334,11.048,3.677
016,016,None,0.473,0.158,80,2,1.00,-0.1,0,0.334,NaN,0.334,NaN,NaN,NaN,-0.182,-0.038,0.209,-168.198,0.01,0.007,0.03,43.657,43.532,45.162,1.53,1.514,1.497,10.313,11.021,3.144
017,017,None,0.476,0.312,80,0,1.00,-0.1,0.5,0.655,NaN,0.655,NaN,NaN,NaN,-0.195,0.035,-0.198,169.698,0.021,0.01,0.041,44.498,44.365,46.089,1.457,1.314,1.184,10.295,11.005,3.255
018,018,None,0.447,0.406,80,0,1.00,-0.1,1,0.908,NaN,0.908,NaN,NaN,NaN,-1.037,-0.572,2.138,-151.149,0.013,0.01,0.041,44.327,44.127,45.973,0.862,0.761,0.97,10.259,10.917,8.653
019,019,None,0.511,0.169,80,1,1.00,2,0.5,0.331,NaN,0.331,NaN,NaN,NaN,-0.828,-0.318,1.228,-158.993,0.009,0.005,0.02,44.084,44.519,46.656,1.18,0.798,1.024,10.295,10.934,2.687
020,020,None,0.508,0.23,80,0,1.00,2,1,0.453,NaN,0.453,NaN,NaN,NaN,-1.133,-0.402,1.56,-160.47,0.009,0.005,0.024,43.628,43.662,45.985,0.975,0.964,0.834,10.297,10.886,2.192
