Desktop_Software_Build_Version,2.0
#;Jahr;Monat;Tag;Stunde;Minute;Sekunde;VelX;VelY;VelZ;SNR1;SNR2;SNR3;AccX;AccY;AccZ;Temp
();();();();();();();(m/s);(m/s);(m/s);(dB);(dB);(dB);(cnts);(cnts);(cnts);(° C)
01;2025;09;29;16;14;20;0,585;0,006;0,024;37,067;35,494;38,775;3,485;192,688;15815,09;10,185
01;2025;09;29;16;14;20;0,6;-0,035;0,008;38,58;34,5;38,73;-28,935;203,95;15836,86;10,185
01;2025;09;29;16;14;21;0,629;-0,027;-0,062;36,244;36,51;38,369;-6,215;200,209;15822,95;10,179
01;2025;09;29;16;14;21;0,626;0,029;0,179;36,533;35,317;38,233;7,912;123,312;15844,33;10,185
01;2025;09;29;16;14;22;0,63;-0,014;-0,028;36,644;34,787;36,517;-30,506;110,215;15826,82;10,185
01;2025;09;29;16;14;22;0,636;0,029;-0,021;35,977;35,428;36,562;8,841;211,099;15826,77;10,185
01;2025;09;29;16;14;23;0,621;0,019;0,017;36,288;34,434;36,517;56,356;176,963;15807,41;10,185
01;2025;09;29;16;14;23;0,593;-0,026;-0,096;33,707;33,241;35,117;-16,177;182,495;15843,26;10,18
01;2025;09;29;16;14;24;0,692;0,065;-0,071;32,728;32,755;36,065;29,175;169,354;15818,96;10,185
01;2025;09;29;16;14;24;0,547;0,064;0,174;31,149;28,426;30,464;-2,809;200,829;15834,94;10,185
01;2025;09;29;16;14;25;0,703;0,102;-0,07;31,304;30,436;32,09;20,014;169,523;15846,38;10,185
01;2025;09;29;16;14;25;0,739;0,127;-0,646;32,15;31,275;31,548;24,36;339,38;15806,49;10,185
01;2025;09;29;16;14;26;0,775;0,093;0,028;32,773;31,629;33,129;43,292;288,637;15809,98;10,185
01;2025;09;29;16;14;26;0,446;-0,087;-0,066;34,308;32,137;35,523;-0,691;254,677;15819,98;10,185
01;2025;09;29;16;14;27;0,334;-0,009;0,094;33,04;33,285;36,065;0,542;203,06;15841,19;10,185
01;2025;09;29;16;14;27;0,327;0,199;0,822;32,061;29,685;34,823;52,75;214,496;15818,74;10,18
01;2025;09;29;16;14;28;0,564;0,06;0,088;32,84;32,247;35,117;-8,025;186,548;15830,05;10,174
01;2025;09;29;16;14;29;0,448;0,097;0,341;30,303;29,906;36,404;120,732;102,256;15788,8;10,152
01;2025;09;29;16;14;29;0,467;0,005;0,042;33,752;33,373;34,033;29,562;93,292;15786,02;10,158
01;2025;09;29;16;14;30;0,543;-0,063;-0,019;34,152;33,153;35,32;4,815;97,406;15856,79;10,161
01;2025;09;29;16;14;30;0,506;-0,006;-0,123;35,131;34,92;36,201;68,376;95,061;15808,88;10,153
01;2025;09;29;16;14;31;0,565;0,011;-0,041;37,957;34,809;35,568;-6,484;248,615;15828,08;10,147
01;2025;09;29;16;14;31;0,594;-0,021;0,011;34,953;35,207;37,465;-8,866;145,316;15828,5;10,147
01;2025;09;29;16;14;32;0,601;0,026;-0,06;33,996;34,014;36,246;4,198;172,454;15801,45;10,152
01;2025;09;29;16;14;32;0,489;0,004;-0,002;35,354;35,472;36,946;0,306;209,83;15836,5;10,147
01;2025;09;29;16;14;33;0,594;-0,002;-0,049;35,71;33,904;37,375;20,97;207,594;15830,84;10,147
01;2025;09;29;16;14;33;0,565;0,029;-0,017;34,886;32,755;37,42;21,283;198,764;15816,14;10,147
01;2025;09;29;16;14;34;0,552;-0,015;-0,004;34,597;33,197;35,794;-6,134;181,846;15787,27;10,147
01;2025;09;29;16;14;34;0,634;0,004;0,007;35,799;35,295;37,217;-28,037;235,665;15801,72;10,147
01;2025;09;29;16;14;35;0,677;0,002;-0,047;36,066;33,793;36,584;-2,597;194,798;15833,05;10,157
01;2025;09;29;16;14;35;0,738;0,004;-0,146;35,643;34,389;36,855;26,927;233,426;15824,67;10,153
01;2025;09;29;16;14;36;0,437;0,086;0,075;33,64;32,181;37,894;49,139;146,267;15815,96;10,157
01;2025;09;29;16;14;36;0,381;-0,027;-0,179;31,349;30,06;33,875;-15,162;129,169;15833,35;10,163
01;2025;09;29;16;14;37;0,438;0,015;-0,059;32,662;32,777;36,72;-23,376;216,508;15856,65;10,175
01;2025;09;29;16;14;37;0,342;0,042;-0,268;30,281;29,994;9,169;-18,515;224,891;15820,21;10,163
01;2025;09;29;16;14;38;0,513;0,027;0,089;32,995;30,657;33,287;-26,266;127,866;15830,22;10,157
01;2025;09;29;16;14;38;0,634;-0,034;0,023;32,595;33,44;36,088;29,725;153,57;15830,67;10,153
01;2025;09;29;16;14;39;0,671;0,01;-0,005;34,397;33,396;35,839;-7,73;170,142;15807,48;10,147
01;2025;09;29;16;14;39;0,611;0,016;-0,001;35,131;34,036;38,143;-10,285;120,438;15847,23;10,163
01;2025;09;29;16;14;40;0,581;0,02;-0,086;32,951;33,02;35,094;21,621;189,18;15807,17;10,147
01;2025;09;29;16;14;40;0,537;0,066;0,119;30,125;29,663;31,255;7,535;134,253;15817,28;10,147
01;2025;09;29;16;14;41;0,477;0,069;-0,111;30,526;31,187;31,707;-11,512;163,9;15801,59;10,147
01;2025;09;29;16;14;41;0,408;0,035;0,075;32,15;30,922;30,961;-4,592;88,542;15843,23;10,147
01;2025;09;29;16;14;42;0,553;-0,008;0,152;30,659;31,673;19,896;15,632;131,479;15838,19;10,147
01;2025;09;29;16;14;42;0,564;-0,026;0,01;33,485;33,904;34,913;-13,565;83,572;15838,74;10,147
01;2025;09;29;16;14;43;0,501;0,022;0,002;34,909;34,942;35,907;-8,22;126,784;15846,26;10,147
01;2025;09;29;16;14;43;0,601;-0,022;-0,027;34,241;35,251;34,755;4,733;83,723;15811,32;10,147
01;2025;09;29;16;14;44;0,745;0,029;-0,141;32,84;31,739;33,604;-2,125;124,389;15812,3;10,147
01;2025;09;29;16;14;44;0,662;-0,03;0,01;32,194;33,351;34,168;-0,279;161,42;15816,79;10,147
01;2025;09;29;16;14;45;0,668;-0,009;-0,016;34,174;33,506;35,071;-18,04;235,882;15810,3;10,147
01;2025;09;29;16;14;45;0,672;0,088;-0,025;31,972;30,458;35,004;15,563;100,764;15847,6;10,147
01;2025;09;29;16;14;46;0,493;0,126;-0,06;27,344;28,757;28,838;-12,081;122,718;15850,33;10,147
01;2025;09;29;16;14;46;0,353;0,08;-0,012;28,323;25,268;31,729;-51,352;182,864;15836,93;10,147
01;2025;09;29;16;14;47;0,503;0,115;-0,143;30,726;28,581;29,38;7,461;79,133;15837,12;10,147
01;2025;09;29;16;14;47;0,446;0,072;0,178;31,193;31,54;27,393;-24,398;66,613;15807,03;10,147
01;2025;09;29;16;14;48;0,427;-0,069;-0,194;31,505;32,225;32,678;-6,346;130,53;15828,19;10,147
01;2025;09;29;16;14;48;0,515;0,036;-0,204;31,082;32,623;25,722;-10,351;122,437;15831,19;10,147
01;2025;09;29;16;14;49;0,497;0;-0,075;29,213;31,584;30,058;-36,266;127,659;15838,22;10,147
01;2025;09;29;16;14;49;0,647;0,027;0,038;32,55;31,032;34,213;-30,512;110,337;15833,67;10,147
01;2025;09;29;16;14;50;0,653;0,061;0,192;33,018;31,209;34,304;-0,736;84,67;15827,01;10,147
02;2025;09;29;16;24;15;0,509;-0,05;-0,013;38,357;37,349;38,504;-135,331;33,242;15949,26;10,072
02;2025;09;29;16;24;15;0,603;-0,096;-0,354;35,977;36,112;39,927;-39,703;169,414;15717,45;10,072
02;2025;09;29;16;24;16;0,534;-0,134;-0,108;35,198;37,879;38,978;-76,2;435,21;15798,12;10,072
02;2025;09;29;16;24;16;0,74;-0,077;0,212;36,088;35,847;36,946;-181,412;43,891;15803,58;10,072
02;2025;09;29;16;24;17;0,629;-0,12;0,127;34,686;34,102;39,001;156,777;118,047;15769,69;10,072
02;2025;09;29;16;24;17;0,558;-0,106;-0,007;33,307;34,809;35,817;152,666;162,224;15721,74;10,072
02;2025;09;29;16;24;18;0,617;-0,117;0,079;35,153;33,594;35,884;99,434;384,934;15584,28;10,072
02;2025;09;29;16;24;18;0,798;0,011;0,065;33,729;33,815;34,349;-63,956;461,947;15670,2;10,072
02;2025;09;29;16;24;19;0,42;-0,033;0,087;35,443;36,046;37,239;268,84;248,441;15806,32;10,072
02;2025;09;29;16;24;19;0,294;-0,121;-0,046;35,598;36,024;36,313;-52,316;471,86;15754,05;10,072
02;2025;09;29;16;24;20;0,205;-0,048;0,291;37,846;37,968;38,64;-10,27;838,52;15708,68;10,072
02;2025;09;29;16;24;20;0,301;-0,171;0,015;35,665;34,721;37,194;-108,073;578,061;15758,11;10,072
02;2025;09;29;16;24;21;0,135;0,023;-0,07;35,398;34,809;37,375;94,196;467,931;15758,82;10,072
02;2025;09;29;16;24;21;0,457;-0,092;0,012;37,623;35,339;37,827;-76,748;-430,121;15842,13;10,072
02;2025;09;29;16;24;22;0,509;-0,167;0,022;36,733;36,974;38,414;-70,268;-1234,402;15800,48;10,072
02;2025;09;29;16;24;22;0,35;-0,171;-0,072;37,356;35,936;39,272;-123,085;-1334,013;15754,2;10,072
02;2025;09;29;16;24;23;0,559;-0,114;-0,15;37,089;37,548;38,459;-85,538;-1189,979;15756,24;10,072
02;2025;09;29;16;24;23;0,965;-0,139;0,198;38,691;36,907;38,978;-117,184;-1160,905;15909,14;10,072
02;2025;09;29;16;24;24;0,755;-0,078;-0,255;38,469;37,923;40,74;15,317;-935,839;15827,23;10,072
