Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
001;001;0,6;0,6;0,127;60;4;1,00;17,9;NaN;0,212;NaN;0,212;NaN;NaN;NaN;0,566;0,018;-0,011;1,851;0,013;0,006;0,012;33,332;32,579;34,012;2,339;2,187;4,707;10,16;8,832;0,6
002;002;0,2/0,6/0,8;0,2;0,067;60;2;1,00;17,4;NaN;0,337;NaN;0,337;NaN;NaN;NaN;0,451;-0,082;-0,051;-10,298;0,026;0,009;0,022;35,997;35,877;37,46;2,038;1,804;1,936;10,072;8,614;2,338
002;002;0,2/0,6/0,8;0,6;0,202;60;1;1,00;17,4;NaN;0,337;NaN;0,337;NaN;NaN;NaN;0,616;-0,054;-0,079;-5,019;0,025;0,009;0,027;37,836;36,96;39,37;1,698;1,842;1,728;10,096;8,686;1,963
002;002;0,2/0,6/0,8;0,8;0,27;60;2;1,00;17,4;NaN;0,337;NaN;0,337;NaN;NaN;NaN;0,84;-0,01;-0,047;-0,696;0,022;0,012;0,028;34,063;33,293;34,259;1,261;1,636;5,443;10,041;8,745;3,035
003;003;0,2/0,6/0,8;0,2;0,09;60;6;1,00;16,9;NaN;0,451;NaN;0,451;NaN;NaN;NaN;1,097;0,145;-0,061;7,511;0,026;0,02;0,043;24,546;24,114;20,943;3,085;2,911;9,506;9,923;8,535;1,378
003;003;0,2/0,6/0,8;0,6;0,271;60;3;1,00;16,9;NaN;0,451;NaN;0,451;NaN;NaN;NaN;0,741;-0,33;0,033;-23,974;0,028;0,015;0,035;27,996;27,386;29,409;2,958;2,88;2,732;9,973;8,511;4,946
003;003;0,2/0,6/0,8;0,8;0,361;60;4;1,00;16,9;NaN;0,451;NaN;0,451;NaN;NaN;NaN;0,436;-0,228;0,019;-27,58;0,026;0,013;0,036;34,452;33,912;36,027;1,274;1,502;1,326;10,029;8,556;7,186
004;004;0,2/0,6/0,8;0,2;0,114;60;1;1,00;16,4;NaN;0,57;NaN;0,57;NaN;NaN;NaN;1,137;0,319;-0,034;15,68;0,021;0,014;0,028;19,961;19,201;21,173;1,917;1,873;2,295;9,852;8,496;0,729
004;004;0,2/0,6/0,8;0,6;0,342;60;3;1,00;16,4;NaN;0,57;NaN;0,57;NaN;NaN;NaN;0,982;0,054;-0,078;3,137;0,021;0,017;0,03;25,296;24,258;26,611;2,556;2,761;2,38;9,917;8,473;3,874
004;004;0,2/0,6/0,8;0,8;0,456;60;1;1,00;16,4;NaN;0,57;NaN;0,57;NaN;NaN;NaN;0,698;-0,037;-0,067;-3,034;0,027;0,011;0,037;25,357;24,382;27,353;1,78;2,005;1,998;9,96;8,472;7,103
005;005;0,2/0,6/0,8;0,2;0,14;60;4;1,00;15,9;NaN;0,699;NaN;0,699;NaN;NaN;NaN;1,27;-0,252;0,012;-11,219;0,022;0,013;0,027;19,859;19,586;20,995;2,305;2,631;2,535;9,792;8,589;1,792
005;005;0,2/0,6/0,8;0,6;0,419;60;3;1,00;15,9;NaN;0,699;NaN;0,699;NaN;NaN;NaN;1,033;-0,069;0,02;-3,814;0,028;0,017;0,043;23,209;23,203;25,474;2,926;2,886;2,995;9,885;8,595;7,075
005;005;0,2/0,6/0,8;0,8;0,559;60;0;1,00;15,9;NaN;0,699;NaN;0,699;NaN;NaN;NaN;0,695;0,025;0,05;2,025;0,028;0,013;0,036;24,008;23,589;25,97;2,569;2,867;2,747;9,922;8,732;2,84
006;006;0,2/0,6/0,8;0,2;0,157;60;4;1,00;15,4;NaN;0,786;NaN;0,786;NaN;NaN;NaN;1,416;0,092;-0,088;3,737;0,021;0,014;0,029;19,137;18,849;20,412;2,605;2,255;2,723;9,735;8,372;2,797
006;006;0,2/0,6/0,8;0,6;0,472;60;0;1,00;15,4;NaN;0,786;NaN;0,786;NaN;NaN;NaN;1,159;-0,102;-0,188;-5,047;0,03;0,017;0,064;21,005;21,019;22,831;2,122;1,886;1,663;9,81;8,381;4,395
006;006;0,2/0,6/0,8;0,8;0,629;60;5;1,00;15,4;NaN;0,786;NaN;0,786;NaN;NaN;NaN;0,507;0,518;-0,057;45,61;0,029;0,023;0,029;27,654;26,952;29,455;2,08;2,409;2,213;9,885;8,453;6,302
007;007;0,2/0,6/0,8;0,2;0,157;60;0;1,00;14,9;NaN;0,786;NaN;0,786;NaN;NaN;NaN;1,348;0,004;-0,017;0,182;0,026;0,015;0,033;17,829;17,608;19,369;2,066;1,876;2,061;9,698;8,215;1,888
007;007;0,2/0,6/0,8;0,6;0,472;60;1;1,00;14,9;NaN;0,786;NaN;0,786;NaN;NaN;NaN;1,107;-0,165;-0,112;-8,502;0,029;0,016;0,05;23,47;23,203;24,913;3,186;2,765;2,76;9,775;8,167;9,921
007;007;0,2/0,6/0,8;0,8;0,629;60;1;1,00;14,9;NaN;0,786;NaN;0,786;NaN;NaN;NaN;0,883;-0,184;0,043;-11,79;0,031;0,019;0,048;26,981;26,921;28,976;2,116;2,404;2,614;9,826;8,259;7,044
