Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
00,2022,03,30,15,27,59,-0.024,-0.285,1.026,42.874,41.855,44.489,-135.306,-300.793,15801.77,10.483
00,2022,03,30,15,27,59,-0.044,-0.293,1.255,44.164,44.439,45.979,-258.801,-373.547,15668.94,10.483
00,2022,03,30,15,28,00,0.049,-0.292,1.089,43.163,43.887,49.095,-421.932,-336.726,15777.3,10.483
00,2022,03,30,15,28,00,-0.049,-0.164,0.807,40.738,43.931,48.215,-269.52,-297.173,15819.59,10.483
00,2022,03,30,15,28,01,0.007,-0.102,0.568,42.518,41.391,43.766,-209.082,-275.974,15815.27,10.483
00,2022,03,30,15,28,01,0.064,-0.085,0.234,41.939,42.937,46.769,-172,-281.748,15819.4,10.483
00,2022,03,30,15,28,02,-0.013,-0.197,0.913,45.121,45.256,45.076,-201.254,-303.426,15799.76,10.483
00,2022,03,30,15,28,02,0.021,-0.357,1.12,46.411,43.887,48.531,-189.082,-250.94,15784.83,10.483
00,2022,03,30,15,28,03,-0.005,-0.425,1.522,44.587,44.903,49.254,-196.372,-247.352,15855.91,10.483
00,2022,03,30,15,28,03,-0.076,-0.261,1.152,44.698,44.461,45.889,-137.079,-535.462,15777.95,10.483
00,2022,03,30,15,28,04,-0.028,-0.312,1.155,48.102,47.222,49.75,-119.13,-297.607,15836.3,10.483
00,2022,03,30,15,28,04,0.028,-0.242,1.261,46.901,46.25,49.321,-90.822,-371.016,15817.06,10.483
00,2022,03,30,15,28,05,-0.077,-0.199,0.565,45.788,46.405,46.927,-118.327,-385.415,15785.29,10.483
00,2022,03,30,15,28,05,-0.025,-0.144,0.609,42.629,43.843,47.853,-55.251,-415.396,15839.89,10.483
00,2022,03,30,15,28,06,-0.005,-0.112,0.333,46.256,45.477,46.318,-48.71,-414.294,15824.73,10.483
00,2022,03,30,15,28,06,-0.12,-0.226,0.914,45.766,43.821,45.798,-117.375,-355.761,15826.77,10.483
00,2022,03,30,15,28,07,-0.018,-0.272,1.285,44.898,44.527,47.086,-89.577,-292.365,15815.66,10.483
00,2022,03,30,15,28,07,-0.109,-0.289,1.101,43.92,43.136,49.028,-137.51,-352.322,15834.69,10.483
00,2022,03,30,15,28,08,0.096,-0.215,0.757,45.9,44.859,46.34,-236.293,-282.971,15861.09,10.483
00,2022,03,30,15,28,08,0.04,-0.286,1.012,45.989,45.742,47.402,-178.642,-320.463,15794.08,10.483
00,2022,03,30,15,28,09,0.059,-0.355,1.602,46.189,45.676,47.831,-170.064,-279.67,15787.93,10.483
00,2022,03,30,15,28,09,0,-0.477,1.84,44.187,46.559,48.712,-195.245,-360.742,15812.79,10.483
00,2022,03,30,15,28,10,-0.061,-0.266,1.476,45.989,46.316,49.254,-146.105,-245.835,15842.21,10.483
00,2022,03,30,15,28,10,0.097,-0.369,1.394,44.965,46.073,47.876,-181.628,-292.412,15801.58,10.483
00,2022,03,30,15,28,11,-0.069,-0.201,0.789,45.388,44.262,46.95,-139.542,-367.538,15803.24,10.483
00,2022,03,30,15,28,11,0.089,-0.187,0.937,47.012,45.389,49.299,-138.837,-257.647,15871.01,10.483
00,2022,03,30,15,28,12,-0.184,-0.319,1.072,48.547,44.064,47.198,-168.771,-251.571,15821.72,10.483
00,2022,03,30,15,28,12,-0.142,-0.306,1.209,45.21,48.525,47.492,-149.002,-366.946,15822.94,10.483
00,2022,03,30,15,28,13,-0.113,-0.337,1.32,44.32,43.666,46.408,-161.055,-276.087,15842.74,10.483
00,2022,03,30,15,28,13,0.141,-0.283,0.999,45.655,45.565,50.315,-49.979,-280.007,15789.47,10.483
00,2022,03,30,15,28,14,-0.045,-0.348,1.166,45.744,44.881,45.956,-92.224,-281.8,15772.03,10.483
00,2022,03,30,15,28,14,-0.055,-0.329,1.296,45.477,43.556,49.005,-124.368,-270.324,15805.24,10.483
00,2022,03,30,15,28,15,-0.007,-0.318,1.324,44.543,44.682,47.131,-96.453,-292.116,15843.08,10.483
00,2022,03,30,15,28,15,0.067,-0.261,0.95,46.856,45.698,46.882,-113.334,-299.736,15817.77,10.483
00,2022,03,30,15,28,16,0.058,-0.405,1.506,47.524,45.72,47.063,-79.598,-250.813,15817.21,10.483
00,2022,03,30,15,28,16,0.037,-0.352,1.143,45.521,44.815,46.431,-108.383,-269.656,15811.24,10.483
00,2022,03,30,15,28,17,0.01,-0.206,0.875,44.431,43.887,46.34,-107.533,-302.101,15818.1,10.483
00,2022,03,30,15,28,17,0.14,-0.269,1.784,43.096,44.572,47.108,-156.897,-313.055,15829.97,10.483
00,2022,03,30,15,28,18,0.064,-0.311,1.126,45.677,43.732,47.605,-119.808,-343.488,15830.26,10.483
00,2022,03,30,15,28,18,-0.054,-0.19,0.561,44.743,45.278,44.443,-142.504,-266.815,15813.16,10.483
00,2022,03,30,15,28,19,0.094,-0.214,0.785,45.788,45.588,45.663,-137.436,-362.523,15823.73,10.483
00,2022,03,30,15,28,19,-0.005,-0.278,1.08,44.898,43.18,46.024,-133.493,-238.451,15814.66,10.483
00,2022,03,30,15,28,20,0.155,-0.292,1.824,45.366,44.218,47.515,-114.593,-231.255,15828.27,10.483
00,2022,03,30,15,28,20,0.025,-0.382,1.287,44.72,44.284,48.395,-126.92,-311.897,15835.98,10.483
00,2022,03,30,15,28,21,-0.127,-0.48,1.573,45.254,47.288,47.989,-113.527,-327.016,15843.69,10.483
00,2022,03,30,15,28,21,-0.022,-0.331,1.274,45.432,45.323,45.256,-76.319,-328.166,15834.31,10.483
00,2022,03,30,15,28,22,-0.094,-0.388,1.98,44.832,43.799,45.685,-116.862,-231.661,15809.98,10.483
00,2022,03,30,15,28,22,-0.119,-0.224,1,43.764,44.77,45.956,-72.995,-251.801,15844.96,10.483
00,2022,03,30,15,28,23,-0.053,-0.359,1.178,46.211,43.997,47.515,-115.068,-217.673,15821.16,10.483
00,2022,03,30,15,28,23,0.029,-0.217,0.705,40.983,42.009,47.492,-105.487,-295.281,15827.7,10.483
00,2022,03,30,15,28,24,-0.056,-0.233,0.984,44.187,46.449,47.334,-76.33,-344.169,15834.88,10.483
00,2022,03,30,15,28,24,-0.001,-0.135,0.743,43.897,43.931,45.324,-83.68,-346.504,15830.63,10.483
00,2022,03,30,15,28,25,0.045,-0.24,0.899,47.346,47.774,46.769,-92.676,-269.32,15831.25,10.483
00,2022,03,30,15,28,25,0.05,-0.155,0.66,43.719,45.411,48.147,-68.408,-382.378,15809.28,10.483
00,2022,03,30,15,28,26,-0.044,-0.182,0.794,42.251,44.505,47.086,-99.28,-276.575,15822.23,10.483
00,2022,03,30,15,28,26,0.104,-0.259,1.72,46.278,46.206,48.124,-101.549,-293.356,15815.67,10.483
00,2022,03,30,15,28,27,-0.035,-0.42,1.666,44.765,47.31,48.508,-94.914,-335.878,15823.29,10.483
00,2022,03,30,15,28,27,-0.018,-0.325,1.183,44.809,44.837,47.899,-144.198,-332.726,15824.33,10.483
00,2022,03,30,15,28,28,-0.248,-0.199,0.747,47.346,44.837,44.85,-141.624,-373.695,15846.79,10.483
00,2022,03,30,15,28,28,-0.044,-0.229,0.922,41.583,43.401,44.895,-28.141,-389.22,15795.44,10.483
00,2022,03,30,15,28,29,-0.067,-0.289,1.149,44.075,46.67,49.999,-59.831,-357.883,15803.14,10.483
00,2022,03,30,15,28,29,-0.195,-0.223,0.907,43.341,44.549,44.963,-51.267,-357.623,15816.86,10.483
00,2022,03,30,15,28,30,-0.113,-0.153,0.549,46.345,45.786,47.56,14.98,-469.475,15812.05,10.483
00,2022,03,30,15,28,30,0.033,-0.182,0.8,45.165,44.925,46.611,-4.108,-389.914,15821.47,10.483
00,2022,03,30,15,28,31,0.135,-0.209,1.299,46.99,46.405,46.002,57.122,-431.859,15786.27,10.483
00,2022,03,30,15,28,31,-0.072,-0.335,1.251,45.788,47.531,47.673,39.056,-422.38,15824.09,10.483
00,2022,03,30,15,28,32,0.03,-0.155,0.708,44.253,45.499,48.011,29.42,-489.836,15796.43,10.483
00,2022,03,30,15,28,32,-0.025,-0.298,1.046,43.363,41.921,45.505,24.123,-453.061,15816.62,10.483
00,2022,03,30,15,28,33,-0.129,-0.333,1.225,43.653,43.821,45.527,31.682,-358.84,15826.1,10.483
00,2022,03,30,15,28,33,-0.021,-0.218,0.887,45.321,45.808,45.369,39.557,-322.46,15814.31,10.483
00,2022,03,30,15,28,34,0.016,-0.219,0.902,41.561,41.833,43.359,20.046,-418.458,15840.87,10.483
00,2022,03,30,15,28,34,-0.014,-0.246,1.046,44.053,44.019,50.721,99.53,-434.695,15800.36,10.483
00,2022,03,30,15,28,35,0.063,-0.258,0.96,45.01,44.174,47.198,58.254,-399.151,15822.27,10.483
00,2022,03,30,15,28,35,-0.196,-0.403,1.412,40.693,40.331,45.324,24.425,-404.707,15833.76,10.483
00,2022,03,30,15,28,36,-0.033,-0.21,0.838,45.076,45.212,48.983,7.955,-464.903,15825.68,10.483
00,2022,03,30,15,28,36,-0.207,-0.238,0.882,45.499,45.433,43.517,-16.223,-444.042,15840.43,10.483
00,2022,03,30,15,28,37,-0.054,-0.26,1.032,40.048,40.53,43.314,13.238,-485.176,15832.91,10.483
00,2022,03,30,15,28,37,0.031,-0.23,0.903,41.561,41.987,44.692,66.912,-417.688,15808.03,10.483
00,2022,03,30,15,28,38,-0.021,-0.326,1.101,46.189,48.304,46.86,56.141,-468.931,15761.78,10.483
00,2022,03,30,15,28,38,0.087,-0.261,0.871,44.098,43.268,47.108,55.144,-424.389,15792.14,10.483
01,2022,03,30,15,37,41,-0.23,-0.159,0.074,48.303,43.136,52.189,-968.361,-277.276,15823.78,10.334
01,2022,03,30,15,37,42,-0.267,-0.058,-0.096,49.927,40.176,47.921,-980.398,-170.849,15882.73,10.334
01,2022,03,30,15,37,42,-0.397,-0.082,0.06,49.504,38.696,51.376,-914.376,-447.095,15815.42,10.334
01,2022,03,30,15,37,43,-0.455,-0.049,-0.239,49.46,40.154,50.563,-886.999,-379.635,15776.52,10.334
01,2022,03,30,15,37,43,-0.432,-0.021,0.02,49.259,44.726,51.399,-920.815,-198.146,15806.4,10.334
01,2022,03,30,15,37,44,-0.458,-0.093,0.331,48.97,44.704,49.818,-916.235,-173.316,15730.81,10.334
01,2022,03,30,15,37,44,-0.498,-0.187,0.256,50.083,42.385,51.534,-1052.314,-427.429,15906.4,10.334
01,2022,03,30,15,37,45,-0.434,-0.249,0.683,48.369,37.658,50.631,-926.195,-517.893,15844.97,10.334
01,2022,03,30,15,37,45,-0.273,-0.217,0.304,47.991,37.526,49.276,-793.593,-303.98,15778.68,10.334
01,2022,03,30,15,37,46,-0.387,-0.113,-0.201,48.369,38.763,51.896,-905.246,-544.778,15867.47,10.334
