Desktop_Software_Build_Version,1.7
Site_Name,,Inn
Site_Number,,UPSTREAM
Local_Start_Time,,2022-03-30 15:21:01
Local_End_Time,,2022-03-30 17:06:33
Local_Time_UTC_Offset_Hours,Hours,2.0000
Operator,,Many
Handheld_Serial_Number,,FT2H2004008
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2028002
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,3
Comment,,Up
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,22
Discharge_Equation,,None
Rated_Discharge,m³/s,NaN
Rated_Height,m³/s,NaN
Minimum_Boundary_Status,,Undefined
Total_Width,m,NaN
Total_Area,m²,NaN
Total_Discharge,m³/s,NaN
Mean_Depth,m,0.446
Mean_Velocity_Vx,m/s,0.154
Mean_Velocity_Vy,m/s,-0.115
Mean_Velocity_Vz,m/s,0.395
Mean_SNR,dB,46.389
Mean_VxErr,m/s,0.014
Mean_VyErr,m/s,0.008
Mean_VzErr,m/s,0.033
Mean_Temp,°C,10.008

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,NaN
Accuracy,%,NaN
Depth,%,NaN
Velocity,%,NaN
Width,%,NaN
Method,%,NaN
#_Stations,%,NaN

Discharge_Uncertainty_IVE
Overall,%,NaN
Accuracy,%,NaN
Depth,%,NaN
Velocity,%,NaN
Width,%,NaN

Supplemental_Data,#,0

Automated_Beam_Check,#,1
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2022-03-30 15:26:09,Pass,Pass,Pass,Pass

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(°C),(deg),(),(m/s),(m²),(m³/s),(%)
000,15:27:59,48.29030N,013.15402E,-0.1,0,0.415,NaN,NaN,NaN,0.506,0.21,80,0,-0.017,-0.268,1.073,-93.655,0.009,0.009,0.038,44.737,44.728,46.961,Best,10.483,1.319,1.00,NaN,NaN,NaN,NaN
001,15:37:41,48.29031N,013.15398E,-0.1,0.5,0.708,NaN,NaN,NaN,0.551,0.39,80,0,-0.375,-0.128,0.136,-161.133,0.016,0.009,0.041,49.272,41.355,50.957,Best,10.334,3.47,1.00,NaN,NaN,NaN,NaN
002,15:44:51,48.29034N,013.15395E,-0.1,0.9,0.688,NaN,NaN,NaN,0.501,0.345,80,1,-0.467,-0.364,1.149,-142.014,0.016,0.01,0.04,48.806,48.494,50.411,Best,10.222,1.843,1.00,NaN,NaN,NaN,NaN
003,15:47:33,48.29028N,013.15398E,-0.1,1,0.656,NaN,NaN,NaN,0.453,0.297,80,1,-0.865,-0.159,0.38,-169.609,0.012,0.006,0.026,46.508,45.999,47.784,Best,10.185,3.028,1.00,NaN,NaN,NaN,NaN
004,15:49:53,48.29033N,013.15401E,0,1,0.697,NaN,NaN,NaN,0.492,0.343,80,0,-1.201,-0.356,1.17,-163.479,0.011,0.005,0.025,45.856,45.437,47.619,Best,10.184,3.578,1.00,NaN,NaN,NaN,NaN
005,15:53:59,48.29032N,013.15399E,0.1,1,0.74,NaN,NaN,NaN,0.488,0.361,80,3,-0.641,-0.401,1.853,-147.958,0.02,0.012,0.06,48.227,48.154,50.008,Best,10.11,2.34,1.00,NaN,NaN,NaN,NaN
006,15:57:00,48.29031N,013.15400E,0.1,0.9,0.604,NaN,NaN,NaN,0.47,0.284,80,0,-0.465,-0.177,0.977,-159.139,0.035,0.024,0.106,46.512,46.292,48.302,Best,10.073,2.343,1.00,NaN,NaN,NaN,NaN
007,15:59:35,48.29034N,013.15401E,0,1.1,0.626,NaN,NaN,NaN,0.444,0.278,80,0,-0.851,-0.475,1.847,-150.805,0.011,0.006,0.027,44.959,44.239,46.449,Best,10.068,2.645,1.00,NaN,NaN,NaN,NaN
008,16:03:04,48.29036N,013.15404E,0,1.2,0.48,NaN,NaN,NaN,0.456,0.219,80,1,-0.913,-0.422,1.629,-155.206,0.011,0.007,0.032,44.772,44.437,46.707,Best,10.035,2.557,1.00,NaN,NaN,NaN,NaN
009,16:06:14,48.29036N,013.15398E,0.1,0.5,0.777,NaN,NaN,NaN,0.38,0.295,80,5,0.018,-0.069,0.337,-75.11,0.021,0.014,0.058,46.325,45.549,48.599,Best,10.035,1.82,1.00,NaN,NaN,NaN,NaN
010,16:09:56,48.29030N,013.15398E,0.1,0,0.291,NaN,NaN,NaN,0.481,0.14,80,1,-0.025,-0.02,0.09,-141.511,0.007,0.007,0.027,42.588,42.004,44.166,Best,10.059,2.672,1.00,NaN,NaN,NaN,NaN
011,16:28:09,48.29027N,013.15385E,-2,0.5,0.355,NaN,NaN,NaN,0.485,0.172,80,1,0.773,-0.272,1.041,-19.406,0.012,0.006,0.024,47.314,46.405,48.919,Best,9.903,2.525,1.00,NaN,NaN,NaN,NaN
012,16:32:03,48.29032N,013.15394E,-1,0.5,0.436,NaN,NaN,NaN,0.516,0.225,80,3,0.975,-0.124,0.393,-7.244,0.009,0.005,0.023,46.433,46.167,48.119,Best,9.885,1.306,1.00,NaN,NaN,NaN,NaN
013,16:34:37,48.29029N,013.15391E,-1,1,0.528,NaN,NaN,NaN,0.485,0.256,80,0,0.957,0.002,-0.091,0.114,0.018,0.009,0.038,45.199,44.672,46.628,Best,9.85,1.854,1.00,NaN,NaN,NaN,NaN
014,16:40:44,48.29032N,013.15406E,1,0,0.142,NaN,NaN,NaN,0.676,0.096,80,0,0.519,0.016,-0.077,1.745,0.007,0.003,0.015,47.839,47.232,49.096,Best,9.923,0.485,1.00,NaN,NaN,NaN,NaN
015,16:43:53,48.29033N,013.15405E,1,0.5,0.27,NaN,NaN,NaN,0.485,0.131,80,0,0.649,-0.062,0.199,-5.499,0.005,0.003,0.016,48.898,48.408,50.853,Best,9.848,2.295,1.00,NaN,NaN,NaN,NaN
016,16:46:42,48.29035N,013.15405E,1,1,0.313,NaN,NaN,NaN,0.466,0.146,80,0,0.767,-0.009,-0.062,-0.661,0.014,0.008,0.035,45.309,45.135,47.276,Best,9.848,2.618,1.00,NaN,NaN,NaN,NaN
017,16:51:10,48.29037N,013.15416E,2,1,0.216,NaN,NaN,NaN,0.546,0.118,80,1,0.864,0.164,-0.744,10.734,0.015,0.005,0.025,46.607,46.198,48.209,Best,9.826,1.881,1.00,NaN,NaN,NaN,NaN
018,16:53:29,48.29038N,013.15407E,2,0.5,0.166,NaN,NaN,NaN,0.476,0.079,80,2,0.77,0.157,-0.662,11.554,0.009,0.004,0.016,45.372,45.101,47.241,Best,9.834,1.212,1.00,NaN,NaN,NaN,NaN
019,16:55:31,48.29032N,013.15409E,2,0,0.18,NaN,NaN,NaN,0.533,0.096,80,0,0.722,0.186,-0.798,14.488,0.008,0.004,0.016,40.973,40.835,42.412,Best,9.849,1.869,1.00,NaN,NaN,NaN,NaN
020,17:01:08,48.29032N,013.15434E,5,0.5,0.176,NaN,NaN,NaN,0.597,0.105,80,1,0.945,0.021,-0.124,1.271,0.015,0.005,0.019,45.682,45.286,47.287,Best,9.82,2.394,1.00,NaN,NaN,NaN,NaN
021,17:03:36,48.29033N,013.15434E,5,1,0.344,NaN,NaN,NaN,0.515,0.177,80,1,1.254,0.236,-1.021,10.664,0.017,0.005,0.022,45.369,44.745,47.247,Best,9.81,1.526,1.00,NaN,NaN,NaN,NaN
