Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,0.506,0.21,80,0,1.00,-0.1,0,0.415,NaN,0.415,NaN,NaN,NaN,-0.017,-0.268,1.073,-93.655,0.009,0.009,0.038,44.737,44.728,46.961,1.746,1.639,1.644,10.483,10.827,1.319
001,001,None,0.551,0.39,80,0,1.00,-0.1,0.5,0.708,NaN,0.708,NaN,NaN,NaN,-0.375,-0.128,0.136,-161.133,0.016,0.009,0.041,49.272,41.355,50.957,1.007,3.87,1.014,10.334,10.758,3.47
002,002,None,0.501,0.345,80,1,1.00,-0.1,0.9,0.688,NaN,0.688,NaN,NaN,NaN,-0.467,-0.364,1.149,-142.014,0.016,0.01,0.04,48.806,48.494,50.411,1.081,1.293,1.069,10.222,10.743,1.843
003,003,None,0.453,0.297,80,1,1.00,-0.1,1,0.656,NaN,0.656,NaN,NaN,NaN,-0.865,-0.159,0.38,-169.609,0.012,0.006,0.026,46.508,45.999,47.784,0.817,1.158,1.039,10.185,10.699,3.028
004,004,None,0.492,0.343,80,0,1.00,0,1,0.697,NaN,0.697,NaN,NaN,NaN,-1.201,-0.356,1.17,-163.479,0.011,0.005,0.025,45.856,45.437,47.619,0.99,0.863,1.025,10.184,10.671,3.578
005,005,None,0.488,0.361,80,3,1.00,0.1,1,0.74,NaN,0.74,NaN,NaN,NaN,-0.641,-0.401,1.853,-147.958,0.02,0.012,0.06,48.227,48.154,50.008,2.359,2.14,2.481,10.11,10.654,2.34
006,006,None,0.47,0.284,80,0,1.00,0.1,0.9,0.604,NaN,0.604,NaN,NaN,NaN,-0.465,-0.177,0.977,-159.139,0.035,0.024,0.106,46.512,46.292,48.302,1.197,0.988,1.091,10.073,10.653,2.343
007,007,None,0.444,0.278,80,0,1.00,0,1.1,0.626,NaN,0.626,NaN,NaN,NaN,-0.851,-0.475,1.847,-150.805,0.011,0.006,0.027,44.959,44.239,46.449,1.108,1.077,1.112,10.068,10.636,2.645
008,008,None,0.456,0.219,80,1,1.00,0,1.2,0.48,NaN,0.48,NaN,NaN,NaN,-0.913,-0.422,1.629,-155.206,0.011,0.007,0.032,44.772,44.437,46.707,0.75,0.908,0.93,10.035,10.626,2.557
009,009,None,0.38,0.295,80,5,1.00,0.1,0.5,0.777,NaN,0.777,NaN,NaN,NaN,0.018,-0.069,0.337,-75.11,0.021,0.014,0.058,46.325,45.549,48.599,1.301,1.214,1.579,10.035,10.586,1.82
010,010,None,0.481,0.14,80,1,1.00,0.1,0,0.291,NaN,0.291,NaN,NaN,NaN,-0.025,-0.02,0.09,-141.511,0.007,0.007,0.027,42.588,42.004,44.166,1.435,1.566,1.458,10.059,10.573,2.672
011,011,None,0.485,0.172,80,1,1.00,-2,0.5,0.355,NaN,0.355,NaN,NaN,NaN,0.773,-0.272,1.041,-19.406,0.012,0.006,0.024,47.314,46.405,48.919,1.119,1.185,1.091,9.903,10.514,2.525
012,012,None,0.516,0.225,80,3,1.00,-1,0.5,0.436,NaN,0.436,NaN,NaN,NaN,0.975,-0.124,0.393,-7.244,0.009,0.005,0.023,46.433,46.167,48.119,0.981,0.974,1.064,9.885,10.506,1.306
